abs	dur	bar	beat	::
0.25	0.25	0	1.25	::
0.5	0.25	0	1.5	::
0.75	0.25	2	1	::
1	0.25	2	1.25	::
1.5	0.25	3	1	::
1.75	0.25	3	1.25	::
2	0.25	3	1.5	::
2.25	0.25	4	1	::
2.75	0.25	4	1.5	::
3	0.25	5	1	::
3.25	0.25	5	1.25	::
3.5	0.25	5	1.5	::
4	0.25	6	1.25	::
4.25	0.25	6	1.5	::
4.5	0.25	7	1	::
4.75	0.25	7	1.25	::
5.25	0.25	8	1	::
5.5	0.25	8	1.25	::
5.75	0.25	8	1.5	::
6	0.25	9	1	::
6.25	0.25	9	1.25	::
6.5	0.25	9	1.5	::
6.75	0.25	10	1	::
7	0.25	10	1.25	::
7.25	0.25	10	1.5	::
7.75	0.25	11	1.25	::
8	0.25	11	1.5	::
8.25	0.25	12	1	::
8.5	0.25	12	1.25	::
8.75	0.25	12	1.5	::
9	0.25	13	1	::
9.25	0.25	13	1.25	::
9.5	0.25	13	1.5	::
9.75	0.25	14	1	::
10	0.25	14	1.25	::
10.25	0.25	14	1.5	::
10.5	0.25	15	1	::
11	0.25	15	1.5	::
11.25	0.25	16	1	::
11.5	0.25	16	1.25	::
11.75	0.25	16	1.5	::
12	0.25	17	1	::
12.5	0.25	17	1.5	::
12.75	0.25	18	1	::
13	0.25	18	1.25	::
13.625	0.125	19	1.125	::
13.75	0.125	19	1.25	::
13.875	0.125	19	1.375	::
14	0.125	19	1.5	::
14.125	0.125	19	1.625	::
14.25	0.125	20	1	::
14.375	0.125	20	1.125	::
14.625	0.125	20	1.375	::
14.75	0.125	20	1.5	::
15	0.125	21	1	::
15.125	0.125	21	1.125	::
15.375	0.125	21	1.375	::
15.625	0.125	21	1.625	::
15.75	0.125	22	1	::
15.875	0.125	22	1.125	::
16	0.125	22	1.25	::
16.125	0.125	22	1.375	::
16.25	0.125	22	1.5	::
16.375	0.125	22	1.625	::
16.5	0.125	23	1	::
16.625	0.125	23	1.125	::
16.75	0.125	23	1.25	::
16.875	0.125	23	1.375	::
17	0.25	23	1.5	::
17.25	0.125	24	1	::
17.375	0.125	24	1.125	::
17.75	0.25	24	1.5	::
18	0.125	25	1	::
18.25	0.25	25	1.25	::
18.5	0.125	25	1.5	::
18.625	0.125	25	1.625	::
18.75	0.125	26	1	::
18.875	0.125	26	1.125	::
19	0.125	26	1.25	::
19.125	0.125	26	1.375	::
19.25	0.125	26	1.5	::
19.375	0.125	26	1.625	::
19.5	0.125	27	1	::
19.625	0.125	27	1.125	::
19.75	0.125	27	1.25	::
19.875	0.125	27	1.375	::
20	0.25	27	1.5	::
20.25	0.125	28	1	::
20.375	0.125	28	1.125	::
20.75	0.25	28	1.5	::
21	0.125	29	1	::
21.25	0.25	29	1.25	::
21.5	0.125	29	1.5	::
21.625	0.125	29	1.625	::
21.75	0.125	30	1	::
21.875	0.125	30	1.125	::
22	0.125	30	1.25	::
22.125	0.125	30	1.375	::
22.25	0.125	30	1.5	::
22.375	0.125	30	1.625	::
22.5	0.125	31	1	::
22.625	0.125	31	1.125	::
22.75	0.125	31	1.25	::
22.875	0.125	31	1.375	::
23	0.125	31	1.5	::
23.125	0.125	31	1.625	::
23.25	0.125	32	1	::
23.375	0.125	32	1.125	::
23.5	0.125	32	1.25	::
23.625	0.125	32	1.375	::
23.75	0.125	32	1.5	::
23.875	0.125	32	1.625	::
24	0.125	33	1	::
24.125	0.125	33	1.125	::
24.25	0.125	33	1.25	::
24.375	0.125	33	1.375	::
24.5	0.125	33	1.5	::
24.625	0.125	33	1.625	::
24.75	0.125	34	1	::
24.875	0.125	34	1.125	::
25	0.125	34	1.25	::
25.125	0.125	34	1.375	::
25.25	0.125	34	1.5	::
25.625	0.125	35	1.125	::
25.75	0.125	35	1.25	::
25.875	0.125	35	1.375	::
26	0.125	35	1.5	::
26.125	0.125	35	1.625	::
26.25	0.125	36	1	::
26.375	0.125	36	1.125	::
26.5	0.125	36	1.25	::
26.625	0.125	36	1.375	::
26.75	0.125	36	1.5	::
26.875	0.125	36	1.625	::
27.25	0.25	37	1.25	::
27.5	0.25	37	1.5	::
27.75	0.25	38	1	::
28	0.25	38	1.25	::
28.5	0.25	39	1	::
28.75	0.25	39	1.25	::
29	0.25	39	1.5	::
29.25	0.25	40	1	::
29.75	0.25	40	1.5	::
30	0.25	41	1	::
30.25	0.25	41	1.25	::
30.5	0.25	41	1.5	::
31	0.25	42	1.25	::
31.25	0.25	42	1.5	::
31.5	0.25	43	1	::
31.75	0.25	43	1.25	::
32.25	0.25	44	1	::
32.5	0.25	44	1.25	::
32.75	0.25	44	1.5	::
33	0.25	45	1	::
33.25	0.25	45	1.25	::
33.5	0.25	45	1.5	::
33.75	0.25	46	1	::
34	0.25	46	1.25	::
34.25	0.25	46	1.5	::
34.75	0.25	47	1.25	::
35	0.25	47	1.5	::
35.25	0.25	48	1	::
35.5	0.25	48	1.25	::
35.75	0.25	48	1.5	::
36	0.25	49	1	::
36.25	0.25	49	1.25	::
36.5	0.25	49	1.5	::
36.75	0.25	50	1	::
37	0.25	50	1.25	::
37.25	0.25	50	1.5	::
37.5	0.25	51	1	::
38	0.25	51	1.5	::
38.25	0.25	52	1	::
38.5	0.25	52	1.25	::
38.75	0.25	52	1.5	::
39	0.25	53	1	::
39.5	0.25	53	1.5	::
39.75	0.25	54	1	::
40	0.25	54	1.25	::
